===================================================
  DEM-GPU: High Density Packing Parameter Study
===================================================

--- Temperature: 0.1 ---
Testing Rho=0.40...Generated 500 points for shape type 0.
Simulation initialized. Seeding particles...
DEBUG: Found collision: 908 and 659 (slot 2)
DEBUG: Found collision: 915 and 657 (slot 3)
DEBUG: Found collision: 917 and 763 (slot 4)
DEBUG: Found collision: 769 and 953 (slot 4)
DEBUG: Found collision: 928 and 24 (slot 0)
DEBUG: Found collision: 932 and 786 (slot 1)
DEBUG: Found collision: 936 and 225 (slot 2)
DEBUG: Found collision: 937 and 953 (slot 3)
DEBUG: Found collision: 928 and 24 (slot 4)
DEBUG: Found collision: 898 and 594 (slot 0)
DEBUG: Found collision: 899 and 736 (slot 1)
DEBUG: Found collision: 908 and 659 (slot 2)
DEBUG: Found collision: 917 and 763 (slot 3)
DEBUG: Found collision: 993 and 91 (slot 4)
DEBUG: Found collision: 898 and 594 (slot 0)
DEBUG: Found collision: 899 and 736 (slot 1)
DEBUG: Found collision: 908 and 659 (slot 2)
DEBUG: Found collision: 917 and 763 (slot 3)
DEBUG: Found collision: 928 and 24 (slot 4)
DEBUG: Found collision: 898 and 594 (slot 0)
DEBUG: Found collision: 899 and 736 (slot 1)
DEBUG: Found collision: 908 and 659 (slot 2)
DEBUG: Found collision: 917 and 763 (slot 3)
DEBUG: Found collision: 993 and 91 (slot 4)
DEBUG: Found collision: 898 and 594 (slot 0)
DEBUG: Found collision: 899 and 736 (slot 1)
DEBUG: Found collision: 908 and 659 (slot 2)
DEBUG: Found collision: 917 and 763 (slot 3)
DEBUG: Found collision: 898 and 594 (slot 0)
DEBUG: Found collision: 899 and 736 (slot 1)
DEBUG: Found collision: 900 and 829 (slot 2)
DEBUG: Found collision: 908 and 659 (slot 3)
DEBUG: Found collision: 917 and 763 (slot 4)
DEBUG: Found collision: 705 and 723 (slot 4)
DEBUG: Found collision: 801 and 585 (slot 0)
DEBUG: Found collision: 802 and 554 (slot 1)
DEBUG: Found collision: 807 and 30 (slot 2)
DEBUG: Found collision: 808 and 953 (slot 3)
DEBUG: Found collision: 801 and 585 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 844 and 160 (slot 1)
DEBUG: Found collision: 860 and 786 (slot 2)
DEBUG: Found collision: 862 and 788 (slot 3)
DEBUG: Found collision: 928 and 24 (slot 3)
DEBUG: Found collision: 932 and 786 (slot 4)
DEBUG: Found collision: 898 and 594 (slot 0)
DEBUG: Found collision: 908 and 659 (slot 1)
DEBUG: Found collision: 917 and 763 (slot 2)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 844 and 160 (slot 1)
DEBUG: Found collision: 854 and 584 (slot 2)
DEBUG: Found collision: 860 and 786 (slot 3)
DEBUG: Found collision: 862 and 788 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 844 and 160 (slot 1)
DEBUG: Found collision: 854 and 584 (slot 2)
DEBUG: Found collision: 860 and 786 (slot 3)
DEBUG: Found collision: 862 and 788 (slot 4)
DEBUG: Found collision: 644 and 143 (slot 0)
DEBUG: Found collision: 650 and 383 (slot 1)
DEBUG: Found collision: 654 and 867 (slot 2)
DEBUG: Found collision: 668 and 608 (slot 3)
DEBUG: Found collision: 670 and 609 (slot 4)
DEBUG: Found collision: 928 and 24 (slot 0)
DEBUG: Found collision: 932 and 786 (slot 1)
DEBUG: Found collision: 936 and 225 (slot 2)
DEBUG: Found collision: 937 and 953 (slot 3)
DEBUG: Found collision: 946 and 742 (slot 4)
DEBUG: Found collision: 932 and 786 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 0)
DEBUG: Found collision: 844 and 160 (slot 1)
DEBUG: Found collision: 860 and 786 (slot 2)
DEBUG: Found collision: 862 and 788 (slot 3)
DEBUG: Found collision: 928 and 24 (slot 0)
DEBUG: Found collision: 932 and 786 (slot 1)
DEBUG: Found collision: 936 and 225 (slot 2)
DEBUG: Found collision: 937 and 953 (slot 3)
DEBUG: Found collision: 946 and 742 (slot 4)
